team_id,p_runs,p_era,p_whip,p_strikeoutWalkRatio,p_ops,h_ops,h_leftOnBase,h_runs,h_hits,h_avg,wins
2008133,3.6741573033707864,3.43,1.23,2.13,.665,.699,7.269662921348314,4.359550561797753,8.49438202247191,.250,75
2009133,4.695121951219512,4.25,1.38,2.05,.734,.681,6.829268292682927,4.182926829268292,8.21951219512195,.242,75
2010133,4.1395348837209305,3.89,1.31,2.10,.718,.699,7.1976744186046515,4.0,8.837209302325581,.260,81
2011133,3.6179775280898876,3.09,1.26,2.11,.655,.638,6.797752808988764,3.4157303370786516,7.831460674157303,.234,74
2012133,3.7058823529411766,3.44,1.25,1.98,.680,.669,6.729411764705882,3.7294117647058824,7.482352941176471,.225,94
2013133,3.9775280898876404,3.72,1.20,2.79,.686,.732,7.123595505617978,4.685393258426966,8.584269662921349,.250,96
2014133,3.4157303370786516,3.11,1.16,2.78,.638,.734,7.359550561797753,4.98876404494382,8.842696629213483,.253,88
2015133,3.7906976744186047,3.36,1.20,2.72,.653,.718,7.127906976744186,4.372093023255814,8.965116279069768,.259,68
2016133,4.895348837209302,4.74,1.42,2.33,.775,.699,6.325581395348837,4.104651162790698,8.523255813953488,.250,69
2017133,5.32183908045977,4.80,1.35,2.51,.754,.733,6.517241379310345,4.344827586206897,7.977011494252873,.238,75
2018133,4.49438202247191,4.10,1.26,2.58,.718,.739,6.53932584269663,4.617977528089888,8.426966292134832,.246,97
2019133,4.3478260869565215,4.05,1.26,2.50,.706,.760,6.5,5.0978260869565215,8.5,.246,97
2021133,4.170454545454546,3.89,1.24,3.10,.701,.718,6.625,4.454545454545454,7.670454545454546,.233,86
2022133,4.488095238095238,4.30,1.33,2.30,.737,.601,5.833333333333333,3.1666666666666665,6.845238095238095,.210,60
2023133,6.2555555555555555,6.02,1.56,1.82,.824,.649,6.611111111111111,3.588888888888889,7.2555555555555555,.220,50
2024133,4.739130434782608,4.34,1.35,2.23,.747,.675,6.565217391304348,3.7717391304347827,7.413043478260869,.224,69
2008134,5.556818181818182,5.17,1.59,1.45,.821,.737,7.1477272727272725,4.886363636363637,9.113636363636363,.260,67
2009134,4.333333333333333,4.26,1.40,1.48,.760,.724,7.095238095238095,4.321428571428571,8.880952380952381,.263,62
2010134,5.488095238095238,5.13,1.52,1.71,.816,.658,6.9523809523809526,3.238095238095238,7.845238095238095,.237,57
2011134,3.8505747126436782,3.43,1.32,1.92,.706,.673,6.666666666666667,3.8505747126436782,8.149425287356323,.246,72
2012134,3.7023809523809526,3.49,1.26,2.32,.692,.697,6.095238095238095,3.9523809523809526,8.011904761904763,.243,79
2013134,3.4367816091954024,3.15,1.20,2.35,.650,.702,6.896551724137931,3.9195402298850577,8.229885057471265,.243,94
2014134,4.101123595505618,3.72,1.26,2.42,.694,.719,7.662921348314606,4.067415730337078,8.853932584269662,.258,88
2015134,3.3012048192771086,2.87,1.20,3.02,.646,.698,7.216867469879518,4.0120481927710845,8.879518072289157,.257,98
2016134,4.651162790697675,4.35,1.41,2.03,.772,.747,7.4186046511627906,4.627906976744186,9.162790697674419,.264,78
2017134,4.574712643678161,4.23,1.35,2.63,.763,.706,7.172413793103448,4.137931034482759,8.160919540229886,.241,75
2018134,4.840909090909091,4.51,1.35,2.59,.742,.718,6.75,4.363636363636363,8.443181818181818,.249,82
2019134,5.258426966292135,4.91,1.43,2.45,.795,.764,7.01123595505618,4.853932584269663,9.52808988764045,.271,69
2021134,4.848837209302325,4.78,1.36,2.27,.745,.660,7.1395348837209305,3.5,7.627906976744186,.231,61
2022134,5.204819277108434,4.77,1.44,2.16,.765,.658,6.108433734939759,3.6265060240963853,7.180722891566265,.220,62
2023134,4.7727272727272725,4.46,1.39,2.33,.743,.706,6.738636363636363,4.238636363636363,7.920454545454546,.240,76
2024134,4.393258426966292,3.93,1.28,2.83,.713,.665,6.977528089887641,4.067415730337078,7.786516853932584,.230,76
2008135,4.655555555555556,4.20,1.34,2.15,.724,.694,7.366666666666666,3.6666666666666665,8.511111111111111,.246,63
2009135,5.0,4.65,1.39,1.90,.754,.690,7.0843373493975905,3.8313253012048194,7.951807228915663,.236,75
2010135,3.357142857142857,3.14,1.21,2.49,.664,.684,7.107142857142857,4.166666666666667,8.428571428571429,.248,90
2011135,3.730337078651685,3.27,1.27,2.28,.682,.638,6.910112359550562,3.404494382022472,7.831460674157303,.234,71
2012135,4.383720930232558,3.91,1.34,2.06,.721,.667,7.046511627906977,3.5232558139534884,7.8023255813953485,.234,76
2013135,4.561797752808989,4.23,1.36,2.04,.749,.696,6.887640449438202,4.022471910112359,8.426966292134832,.246,76
2014135,3.5280898876404496,3.19,1.19,2.88,.661,.611,5.887640449438202,3.0112359550561796,6.943820224719101,.215,77
2015135,4.476744186046512,3.96,1.30,2.76,.739,.661,6.395348837209302,3.941860465116279,8.162790697674419,.239,74
2016135,4.930232558139535,4.55,1.40,2.24,.756,.706,6.174418604651163,4.453488372093023,8.36046511627907,.245,68
2017135,5.023255813953488,4.65,1.37,2.53,.767,.679,6.372093023255814,3.5930232558139537,7.488372093023256,.228,71
2018135,4.648351648351649,4.29,1.35,2.54,.744,.666,6.131868131868132,3.7032967032967035,7.736263736263736,.233,66
2019135,4.855555555555555,4.54,1.26,3.43,.746,.735,5.888888888888889,4.466666666666667,8.1,.242,70
2021135,3.7865168539325844,3.40,1.19,3.09,.681,.731,7.067415730337078,4.651685393258427,7.977528089887641,.242,79
2022135,3.8333333333333335,3.56,1.17,2.88,.648,.691,7.214285714285714,4.416666666666667,8.166666666666666,.241,89
2023135,4.079545454545454,3.83,1.26,2.64,.699,.725,7.113636363636363,4.454545454545454,7.75,.235,82
2024135,4.404255319148936,4.16,1.28,2.99,.719,.736,6.4787234042553195,4.648936170212766,8.936170212765957,.263,93
2008136,4.685393258426966,4.36,1.45,1.79,.753,.690,7.202247191011236,4.01123595505618,8.808988764044944,.256,61
2009136,4.216867469879518,3.79,1.32,1.94,.706,.720,6.855421686746988,3.963855421686747,8.903614457831326,.261,85
2010136,4.273809523809524,3.93,1.30,2.20,.715,.657,7.035714285714286,3.4523809523809526,7.976190476190476,.239,61
2011136,3.4318181818181817,3.13,1.15,2.72,.634,.624,6.681818181818182,3.3295454545454546,7.363636363636363,.224,67
2012136,4.22093023255814,4.00,1.24,2.61,.710,.654,6.1976744186046515,3.9069767441860463,7.767441860465116,.230,75
2013136,4.409090909090909,4.11,1.26,3.07,.729,.695,7.011363636363637,3.6931818181818183,8.181818181818182,.239,71
2014136,3.359550561797753,3.16,1.15,2.80,.645,.677,6.292134831460674,4.101123595505618,8.168539325842696,.242,87
2015136,4.0,3.78,1.25,2.68,.699,.670,6.380952380952381,3.4523809523809526,7.773809523809524,.231,76
2016136,4.325581395348837,3.94,1.30,2.83,.733,.774,6.651162790697675,4.895348837209302,9.05813953488372,.262,86
2017136,4.8977272727272725,4.62,1.33,2.30,.765,.751,6.738636363636363,4.818181818181818,9.0,.264,78
2018136,4.133333333333334,3.91,1.21,3.40,.710,.741,6.766666666666667,4.3,8.822222222222223,.260,89
2019136,5.851063829787234,5.15,1.43,2.37,.809,.769,6.840425531914893,5.095744680851064,8.361702127659575,.243,68
2021136,4.724137931034483,4.51,1.30,2.51,.728,.673,5.9655172413793105,4.103448275862069,7.0344827586206895,.218,90
2022136,3.857142857142857,3.62,1.21,2.92,.697,.704,7.2976190476190474,4.059523809523809,7.857142857142857,.235,90
