team_id,era,avg,cur_wins,obp,slg,ops,stolenBases,leftOnBase,runs,whip,runs_against,blownSaves,strikeoutWalkRatio,wins
2013133,3.72,.250,52,.327,.405,.732,46,634,417,1.20,354,10,2.79,96
2014133,3.11,.253,56,.332,.402,.734,53,655,444,1.16,304,13,2.78,88
2015133,3.36,.259,39,.321,.397,.718,51,613,376,1.20,326,12,2.72,68
2016133,4.74,.250,37,.303,.396,.699,36,544,353,1.42,421,9,2.33,69
2017133,4.80,.238,38,.310,.423,.733,34,567,378,1.35,463,12,2.51,75
2018133,4.10,.246,49,.315,.424,.739,17,582,411,1.26,400,6,2.58,97
2019133,4.05,.246,51,.319,.441,.760,29,598,469,1.26,400,17,2.50,97
2021133,3.89,.233,49,.315,.403,.718,36,583,392,1.24,367,11,3.10,86
2022133,4.30,.210,28,.273,.328,.601,51,490,266,1.33,377,14,2.30,60
2023133,6.02,.220,25,.298,.351,.649,89,595,323,1.56,563,15,1.82,50
2024133,4.34,.224,34,.295,.380,.675,47,604,347,1.35,436,13,2.23,69
2013134,3.15,.243,53,.310,.392,.702,63,600,341,1.20,299,9,2.35,94
2014134,3.72,.258,47,.333,.386,.719,62,682,362,1.26,365,14,2.42,88
2015134,2.87,.257,49,.317,.381,.698,62,599,333,1.20,274,8,3.02,98
2016134,4.35,.264,44,.336,.411,.747,63,638,398,1.41,400,9,2.03,78
2017134,4.23,.241,40,.319,.387,.706,38,624,360,1.35,398,13,2.63,75
2018134,4.51,.249,40,.316,.402,.718,36,594,384,1.35,426,12,2.59,82
2019134,4.91,.271,44,.327,.437,.764,34,624,432,1.43,468,17,2.45,69
2021134,4.78,.231,32,.303,.357,.660,28,614,301,1.36,417,5,2.27,61
2022134,4.77,.220,34,.288,.370,.658,35,507,301,1.44,432,14,2.16,62
2023134,4.46,.240,40,.317,.389,.706,81,593,373,1.39,420,10,2.33,76
2024134,3.93,.230,42,.299,.366,.665,48,621,362,1.28,391,17,2.83,76
2013135,4.23,.246,40,.311,.385,.696,72,613,358,1.36,406,10,2.04,76
2014135,3.19,.215,40,.275,.336,.611,48,524,268,1.19,314,4,2.88,77
2015135,3.96,.239,39,.293,.368,.661,53,550,339,1.30,385,6,2.76,74
2016135,4.55,.245,38,.305,.401,.706,69,531,383,1.40,424,9,2.24,68
2017135,4.65,.228,37,.294,.385,.679,50,548,309,1.37,432,10,2.53,71
2018135,4.29,.233,38,.298,.368,.666,51,558,337,1.35,423,8,2.54,66
2019135,4.54,.242,45,.305,.430,.735,44,530,402,1.26,437,16,3.43,70
2021135,3.40,.242,51,.325,.406,.731,79,629,414,1.19,337,15,3.09,79
2022135,3.56,.241,48,.316,.375,.691,26,606,371,1.17,322,13,2.88,89
2023135,3.83,.235,41,.324,.401,.725,71,626,392,1.26,359,17,2.64,82
2024135,4.16,.263,49,.324,.412,.736,66,609,437,1.28,414,14,2.99,93
2013136,4.11,.239,39,.304,.391,.695,30,617,325,1.26,388,12,3.07,71
